year,quarter,eps_diluted
2006,Q3,0.07281913158779518
2006,Q4,0.03624800406933691
2007,Q1,0.09967394234139952
2007,Q2,0.5137878798933806
2007,Q3,0.6028471993474767
2007,Q4,0.8042244863777513
2008,Q1,0.9860428355799231
2008,Q2,0.22744467139818692
2008,Q3,-0.15283228556245432
2008,Q4,-0.19961512192329425
2009,Q1,-0.25645772787064414
2009,Q2,0.5860299220743461
2009,Q3,1.0831648484811542
2009,Q4,1.1246161407147932
2010,Q1,1.1896366917703602
2010,Q2,1.2707934727723775
2010,Q3,1.3185210117548738
2010,Q4,1.4115971656010275
2011,Q1,1.493276553729342
2011,Q2,1.6186582311386737
2011,Q3,1.7878053102331077
2011,Q4,1.4835351706997781
2012,Q1,1.5915354093160121
2012,Q2,1.6720909639858408
2012,Q3,1.7251240344048195
2012,Q4,2.19416339773778
2013,Q1,2.2799197502846615
2013,Q2,2.421159590880637
2013,Q3,2.530606735351539
2013,Q4,2.56148277537899
2014,Q1,2.6704258634617544
2014,Q2,2.7700376492938465
2014,Q3,2.917990500893109
2014,Q4,3.095422149970754
2015,Q1,3.2491314969599587
2015,Q2,3.259910989238721
2015,Q3,3.247223434721309
2015,Q4,3.346730687933643
2016,Q1,3.323724093866689
2016,Q2,3.409362119379871
2016,Q3,3.624392710162334
2016,Q4,3.6885410650021986
2017,Q1,3.825206776277022
2017,Q2,4.027265789072251
2017,Q3,4.288874056432703
2017,Q4,3.646457329553382
2018,Q1,4.058923638997368
2018,Q2,4.45975011316608
2018,Q3,4.941508288029584
2018,Q4,5.594050344190064
2019,Q1,5.986771803604299
2019,Q2,6.489110376049365
2019,Q3,6.737095678754171
2019,Q4,7.94405737409701
2020,Q1,7.816031458192675
2020,Q2,7.226712865674767
2020,Q3,6.663490734120149
2020,Q4,6.373657175803709
2021,Q1,6.5290828786946395
2021,Q2,7.198823544914179
2021,Q3,8.131734746482097
2021,Q4,8.761296894652158
2022,Q1,9.611590754543194
2022,Q2,9.868848882365569
2022,Q3,10.012076614229663
2022,Q4,10.221312247466738
2023,Q1,10.009020332888923
2023,Q2,10.671183898557313
2023,Q3,11.480876676135466
2023,Q4,11.831173107349159
2024,Q1,12.581828690997606
2024,Q2,13.087161979008755
2024,Q3,13.223425198750235
2024,Q4,13.887675709503577
2025,Q1,14.255976298089916
2025,Q2,14.824257642353373
2025,Q3,15.635916594122826
2025,Q4,16.520513243429345
